Ano de eleição;Cor / Raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Identidade de gênero;Intérprete de libras;Município;Nome social;País;Quilombola;Região;Turno;UF;Quantidade de eleitores deficientes abstenção;Quantidade de eleitores comparecimento TTE;Quantidade de eleitores abstenção TTE;Quantidade de eleitores abstenção obrigatório;Quantidade de eleitores facultativos;Quantidade de eleitores obrigatórios;Quantidade de eleitores comparecimento facultativo;Quantidade de eleitores comparecimento obrigatório;Quantidade de eleitores deficientes facultativo;Quantidade de eleitores deficientes obrigatório;Quantidade de eleitores deficientes comparecimento;Quantidade de eleitores deficientes abstenção facultativo;Quantidade de eleitores deficientes abstenção obrigatório;Quantidade de eleitores nome social;Quantidade de eleitores aptos;Quantidade de eleitores comparecimento;Quantidade de eleitores abstenção;Data de carga
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;MASCULINO;SUPERIOR COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;40 a 44 anos                  ;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;50 a 54 anos                  ;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;55 a 59 anos                  ;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;VIÚVO;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;17 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Branca;CASADO;18 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2025-04-29 16:22:43
2024;Branca;CASADO;18 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Branca;CASADO;19 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;19 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;6;0;6;0;0;0;0;0;0;6;6;0;2025-04-29 16:22:43
2024;Branca;CASADO;19 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;5;0;5;0;0;0;0;0;0;5;5;0;2025-04-29 16:22:43
2024;Branca;CASADO;19 anos                       ;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;19 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;5;0;4;0;0;0;0;0;0;5;4;1;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;4;0;3;0;0;0;0;0;0;4;3;1;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;20 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;3;0;5;0;2;0;0;0;0;0;0;5;2;3;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;10;0;35;0;25;0;0;0;0;0;0;35;25;10;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Branca;CASADO;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;5;0;10;0;5;0;0;0;0;0;0;10;5;5;2025-04-29 16:22:43
