sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;23789;AGNALDO RAIMUNDO DA LUZ;CIDADANIA;CIDADANIA;1;Não eleito;13;81612;240001117920;2030402020;SUL;18
SC;ITAJAÍ;Vereador;25111;DIOGO MACHADO COSTA;DEM;DEM;1;Suplente;13;81612;240000755921;2030402020;SUL;135
SC;ITAJAÍ;Vereador;17251;ANA MARIA SELUSTRIANO FERNANDES;PSL;PSL;1;Suplente;13;81612;240001119385;2030402020;SUL;44
SC;ITAJAÍ;Vereador;17017;MARCUS VINICÍUS CORDEIRO;PSL;PSL;1;Suplente;13;81612;240001119366;2030402020;SUL;159
SC;ITAJAÍ;Vereador;17141;NATALINA DA SILVA DE SOUZA BAIA;PSL;PSL;1;Suplente;13;81612;240001119364;2030402020;SUL;7
SC;ITAJAÍ;Vereador;10345;JOSÉ CARLOS DA SILVA NETO;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240000675283;2030402020;SUL;207
SC;ITAJAÍ;Vereador;70077;FERNANDO RODRIGO WERNER DE OLIVEIRA;AVANTE;AVANTE;1;Não eleito;13;81612;240001261215;2030402020;SUL;394
SC;ITAJAÍ;Vereador;70190;ANDERSON FABIAN BERNARDES;AVANTE;AVANTE;1;Não eleito;13;81612;240001261341;2030402020;SUL;120
SC;ITAJAÍ;Vereador;15123;VANDERLEY DALMOLIN;MDB;MDB;1;Eleito por média;13;81612;240000755746;2030402020;SUL;1273
SC;ITAJAÍ;Vereador;14999;KELLY RAULINO BERNARDES;PTB;PTB;1;Não eleito;13;81612;240001261520;2030402020;SUL;1
SC;ITAJAÍ;Vereador;22345;EDMILSON LEMOS DA SILVA;PL;PL;1;Suplente;13;81612;240000672424;2030402020;SUL;234
SC;ITAJAÍ;Vereador;77677;PATRÍCIA DE ANDRADE ROSA BATISTA;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;13;81612;240000812061;2030402020;SUL;36
SC;ITAJAÍ;Vereador;45000;PAULO CESAR TOMAZ;PSDB;PSDB;1;Suplente;13;81612;240001111313;2030402020;SUL;406
SC;ITAJAÍ;Vereador;45700;ALEXSANDRO VIEIRA;PSDB;PSDB;1;Suplente;13;81612;240001111328;2030402020;SUL;138
SC;ITAJAÍ;Vereador;15888;BRUNO ALFREDO LAUREANO;MDB;MDB;1;Eleito por QP;13;81612;240000755753;2030402020;SUL;1451
SC;ITAJAÍ;Vereador;25255;FABIANA BENTO;DEM;DEM;1;Suplente;13;81612;240000755933;2030402020;SUL;249
SC;ITAJAÍ;Vereador;25025;ALINE SEEBERG ARANHA;DEM;DEM;1;Suplente;13;81612;240000755932;2030402020;SUL;1052
SC;ITAJAÍ;Vereador;40555;ANDERSON LUIS MELO;PSB;PSB;1;Suplente;13;81612;240000979382;2030402020;SUL;105
SC;ITAJAÍ;Vereador;40762;CRISTIANO FERREIRA DAS VIRGENS;PSB;PSB;1;Suplente;13;81612;240000979358;2030402020;SUL;21
SC;ITAJAÍ;Vereador;23333;VICTOR HUGO PINTO RIBEIRO;CIDADANIA;CIDADANIA;1;Não eleito;13;81612;240001117916;2030402020;SUL;90
SC;ITAJAÍ;Vereador;40222;JOSE HOEPERS;PSB;PSB;1;Suplente;13;81612;240000979361;2030402020;SUL;12
SC;ITAJAÍ;Vereador;10555;EDSON LUIZ DA VEIGA;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240000675270;2030402020;SUL;51
SC;ITAJAÍ;Vereador;10333;NILZA PORTO DE OLIVEIRA;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240000675265;2030402020;SUL;154
SC;ITAJAÍ;Vereador;13456;RUBIA CRISTINA DOS SANTOS;PT;PT;1;Não eleito;13;81612;240001237994;2030402020;SUL;821
SC;ITAJAÍ;Vereador;25555;NERIVAL GERMANO VIEIRA;DEM;DEM;1;Suplente;13;81612;240000755935;2030402020;SUL;452
SC;ITAJAÍ;Vereador;17647;MARCELO SOARES NUNES;PSL;PSL;1;Suplente;13;81612;240001119370;2030402020;SUL;97
SC;ITAJAÍ;Vereador;15295;SIMONE KATSWINCKEL DA SILVA;MDB;MDB;1;Suplente;13;81612;240000755736;2030402020;SUL;105
SC;ITAJAÍ;Vereador;15222;SERGIO NASCIMENTO DOS PASSOS;MDB;MDB;1;Suplente;13;81612;240000755749;2030402020;SUL;167
SC;ITAJAÍ;Vereador;17777;EZEQUIEL JOÃO GONÇALVES;PSL;PSL;1;Suplente;13;81612;240001119382;2030402020;SUL;484
SC;ITAJAÍ;Vereador;20555;DIOVANE ANACLETO LEITE;PSC;PSC;1;Suplente;13;81612;240000755717;2030402020;SUL;942
SC;ITAJAÍ;Vereador;20520;RUBENS CAMILO PACHECO;PSC;PSC;1;Suplente;13;81612;240000755713;2030402020;SUL;820
SC;ITAJAÍ;Vereador;11211;REGINA DE JESUS ALMEIDA;PP;PP;1;Suplente;13;81612;240000811871;2030402020;SUL;116
SC;ITAJAÍ;Vereador;12712;WELLINGTON RAIMUNDO FERREIRA POLICARPO;PDT;PDT;1;Suplente;13;81612;240000977682;2030402020;SUL;61
SC;ITAJAÍ;Vereador;14444;ALFREDO HEDLER DA SILVA;PTB;PTB;1;Não eleito;13;81612;240000811689;2030402020;SUL;134
SC;ITAJAÍ;Vereador;14000;THAINARA TEREZINHA NUNES DOS SANTOS;PTB;PTB;1;Não eleito;13;81612;240000811693;2030402020;SUL;21
SC;ITAJAÍ;Vereador;10980;GESIELE ALMEIDA DE CASTRO VIEIRA;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240000675260;2030402020;SUL;44
SC;ITAJAÍ;Vereador;22987;VALÉSIA DE FREITAS;PL;PL;1;Suplente;13;81612;240000672425;2030402020;SUL;19
