codigo_emenda;ano_emenda;codigo_autor;parlamentar;cnpj_beneficiario;beneficiario;tipo_beneficiario;municipio;uf;valor_empenhado;valor_liquidado;valor_pago;primeira_data;ultima_data;funcao;subfuncao;programa;acao;subtitulo;localizador_gasto;orgao;orgao_superior;processo;observacao;percentual_pago;saldo_empenhado_nao_pago
202442510012;2024;4251;IVETE DA SILVEIRA;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;300000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202442510012-IVETE DA SILVEIRA AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;300000,0
202442510013;2024;4251;IVETE DA SILVEIRA;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;300000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202442510013-IVETE DA SILVEIRA AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;300000,0
202429250006;2024;2925;CARMEN ZANOTTO;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202429250006-CARMEN ZANOTTO AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;200000,0
202443390001;2024;4339;DANIELA REINEHR;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;100000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20001 - TRANSFERENCIAS ESPECIAIS              - NACIONAL;0001 - TRANSFERENCIAS ESPECIAIS              - NACIONAL;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202443390001-DANIELA REINEHR AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;100000,0
202471260004;2024;7126;BANCADA DE SANTA CATARINA;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;63,0;0,0;0,0;02/05/2024;02/05/2024;08 - Assistência social;244 - Assistência comunitária;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G7063 - ESTRUTURACAO DA REDE DE SERVICOS DO S - AQUISICAO DE EQUIPAM;7063 - ESTRUTURACAO DA REDE DE SERVICOS DO S - AQUISICAO DE EQUIPAM;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000030388202405;EMPENHO DA PROGRAMACAO N. 420820320240005 REFERENTE A EMENDA DE BANCADA N. 202471260004 -  PROCESSO N. 71000030388202405 - ENTE - ITAJAI-SC;0,0;63,0
202490550010;2024;9055;GILSON MARQUES;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;20,0;0,0;0,0;02/05/2024;02/05/2024;08 - Assistência social;244 - Assistência comunitária;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000030554202465;EMPENHO DA PROGRAMACAO N. 420820320240002, REFERENTE A EMENDA INDIVIDUAL N. 202490550010 - AUTOR - GILSON MARQUES PROCESSO N. 71000030554202465 - ENTE - ITAJAI-SC;0,0;20,0
202429250004;2024;2925;CARMEN ZANOTTO;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;10,0;0,0;0,0;02/05/2024;02/05/2024;08 - Assistência social;244 - Assistência comunitária;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000030393202418;EMPENHO DA PROGRAMACAO N. 420820320240001, REFERENTE A EMENDA INDIVIDUAL N. 202429250004 - AUTOR - CARMEN ZANOTTO PROCESSO N. 71000030393202418 - ENTE - ITAJAI-SC;0,0;10,0
202318800004;2023;1880;ANGELA AMIN;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;25,0;0,0;0,0;06/07/2023;06/07/2023;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202318800004-ANGELA AMIN AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;25,0
202329250003;2023;2925;CARMEN ZANOTTO;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;10,0;0,0;0,0;04/05/2023;04/05/2023;08 - Assistência social;244 - Assistência comunitária;5031 - PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000031953202362;EMPENHO DA PROGRAMACAO N. 420820320230001, REFERENTE A EMENDA INDIVIDUAL N. 202329250003 - AUTOR - CARMEN ZANOTTO PROCESSO N. 71000031953202362 - ENTE - ITAJAI-SC;0,0;10,0
202128560001;2021;2856;ROGERIO PENINHA MENDONCA;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;50,0;0,0;0,0;09/07/2021;09/07/2021;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202128560001-ROGERIO PENINHA MENDONCA AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;50,0
202137860003;2021;3786;DARIO BERGER;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;50,0;0,0;0,0;09/07/2021;09/07/2021;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202137860003-DARIO BERGER AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;50,0
