sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;23777;CLAUDIO MÁRCIO PEREIRA STORINO;PPS;PPS / PEN;1;Suplente;13;81612;240000016942;2;SUL;144
SC;ITAJAÍ;Vereador;23789;FRANCIELLE GOMES BALESTIERI;PPS;PPS / PEN;1;Suplente;13;81612;240000016947;2;SUL;58
SC;ITAJAÍ;Vereador;12123;CHRISTIANE STUART;PDT;PDT / PV;1;Suplente;13;81612;240000013973;2;SUL;952
SC;ITAJAÍ;Vereador;10345;OLAIR JOSÉ SOUZA;PRB;PRB / PTB / PSL / PTN / PC do B / REDE;1;Suplente;13;81612;240000006614;2;SUL;228
SC;ITAJAÍ;Vereador;13777;ROMULO MAFRA;PT;PP / PT;1;Suplente;13;81612;240000003896;2;SUL;160
SC;ITAJAÍ;Vereador;55777;JAILSON BLASIUS FERNANDES;PSD;PSD;1;Suplente;13;81612;240000015122;2;SUL;97
SC;ITAJAÍ;Vereador;55055;MARIO CESAR DE MELO;PSD;PSD;1;Suplente;13;81612;240000015117;2;SUL;251
SC;ITAJAÍ;Vereador;17333;ELAINE MARTINS ZIMMERMANN;PSL;PRB / PTB / PSL / PTN / PC do B / REDE;1;Suplente;13;81612;240000006627;2;SUL;11
SC;ITAJAÍ;Vereador;12000;PAULO MANOEL VICENTE;PDT;PDT / PV;1;Eleito por QP;13;81612;240000013990;2;SUL;1537
SC;ITAJAÍ;Vereador;44123;RENATO MICHELLI;PRP;PRP;1;Suplente;13;81612;240000018359;2;SUL;229
SC;ITAJAÍ;Vereador;11444;ROGERIO DAVID RUSSI;PP;PP / PT;1;Suplente;13;81612;240000003877;2;SUL;496
SC;ITAJAÍ;Vereador;11623;CARLOS AUGUSTO ROSA;PP;PP / PT;1;Eleito por QP;13;81612;240000003871;2;SUL;1425
SC;ITAJAÍ;Vereador;45445;LUIZ BOZZANO JUNIOR;PSDB;DEM / PSDB;1;Suplente;13;81612;240000003446;2;SUL;171
SC;ITAJAÍ;Vereador;44500;MANOEL MESSIAS RODRIGUES DE CARVALHO;PRP;PRP;1;Suplente;13;81612;240000018355;2;SUL;132
SC;ITAJAÍ;Vereador;15123;VANDERLEY DALMOLIN;PMDB;PMDB;1;Eleito por QP;13;81612;240000018015;2;SUL;1093
