Ano de eleição;Cor / Raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Identidade de gênero;Intérprete de libras;Município;País;Quilombola;Região;UF;Quantidade de eleitores com biometria;Quantidade de eleitores com deficiência;Quantidade de eleitores com nome social;Quantidade de eleitores;Quantidade voto facultativo;Quantidade voto facultativo deficiência;Quantidade voto obrigatório;Quantidade voto obrigatório deficiência;Data de carga
2026;Amarela;CASADO;40 a 44 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;40 a 44 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;CASADO;45 a 49 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;45 a 49 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;45 a 49 anos;FEMININO;SUPERIOR INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;45 a 49 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;50 a 54 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;50 a 54 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;CASADO;55 a 59 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;1;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;55 a 59 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;55 a 59 anos;FEMININO;SUPERIOR COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;55 a 59 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;60 a 64 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;65 a 69 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;65 a 69 anos;MASCULINO;SUPERIOR INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;CASADO;70 a 74 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;1;;0;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;30 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;40 a 44 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;40 a 44 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;40 a 44 anos;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;40 a 44 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;40 a 44 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;45 a 49 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;45 a 49 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;50 a 54 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;50 a 54 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;55 a 59 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;DIVORCIADO;65 a 69 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SEPARADO JUDICIALMENTE;60 a 64 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SEPARADO JUDICIALMENTE;75 a 79 anos;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;1;;0;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;16 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;1;;0;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;18 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;18 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;18 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;18 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;0;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;19 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;20 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;20 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;20 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
