sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;44777;DANIEL MATEUS DA SILVA;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974261;2045202024;SUL;479
SC;ITAJAÍ;Vereador;36169;DOUGLAS ISMAEL DE SOUZA;AGIR;AGIR;1;Não eleito;13;81612;240002031622;2045202024;SUL;28
SC;ITAJAÍ;Vereador;36360;ISANDRA NUNES NICOLAU;AGIR;AGIR;1;Não eleito;13;81612;240001944220;2045202024;SUL;186
SC;ITAJAÍ;Vereador;13613;LUCAS DE LIMA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352295;2045202024;SUL;1036
SC;ITAJAÍ;Vereador;43123;ELITON CLAYTON RUFINO SEARA;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352301;2045202024;SUL;117
SC;ITAJAÍ;Vereador;44500;LAUDELINO LAMIM;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974268;2045202024;SUL;847
SC;ITAJAÍ;Vereador;55225;NEIVA BATISTA AZARIAS INÁCIO;PSD;PSD;1;Suplente;13;81612;240001970568;2045202024;SUL;1105
SC;ITAJAÍ;Vereador;55106;KEILA GONÇALVES;PSD;PSD;1;Suplente;13;81612;240001970576;2045202024;SUL;636
SC;ITAJAÍ;Vereador;10000;SANDRO APARECIDO DA SILVA ANDRADE;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960670;2045202024;SUL;1314
SC;ITAJAÍ;Vereador;33227;ALESSANDRO RODRIGUES;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169781;2045202024;SUL;47
SC;ITAJAÍ;Vereador;15007;ARMANDO DUARTE CASTRO LOPES;MDB;MDB;1;Suplente;13;81612;240002383080;2045202024;SUL;4
SC;ITAJAÍ;Vereador;40993;EUNICE VIEIRA DE MORAES WORSPITE;PSB;PSB;1;Não eleito;13;81612;240002361528;2045202024;SUL;22
SC;ITAJAÍ;Vereador;36134;FRANCISCO BASTOS DE JESUS FILHO;AGIR;AGIR;1;Não eleito;13;81612;240001944209;2045202024;SUL;88
SC;ITAJAÍ;Vereador;70111;FERNANDO SOUZA D ARRIGO;AVANTE;AVANTE;1;Não eleito;13;81612;240002052971;2045202024;SUL;149
SC;ITAJAÍ;Vereador;11777;PRISCILA DOS SANTOS FARIAS;PP;PP;1;Suplente;13;81612;240001894136;2045202024;SUL;52
SC;ITAJAÍ;Vereador;11022;MATHEUS PHILIPE DA SILVA ARAUJO;PP;PP;1;Suplente;13;81612;240001894131;2045202024;SUL;141
SC;ITAJAÍ;Vereador;11000;GIRLAN WELBE CARLOS DE MEDEIROS;PP;PP;1;Suplente;13;81612;240001894127;2045202024;SUL;483
SC;ITAJAÍ;Vereador;22111;ROSELI TONDORF CESCONETTO;PL;PL;1;Suplente;13;81612;240001899303;2045202024;SUL;625
SC;ITAJAÍ;Vereador;55333;JOSE CARLOS DA SILVA NETO;PSD;PSD;1;Suplente;13;81612;240001970570;2045202024;SUL;360
SC;ITAJAÍ;Vereador;55111;MAICON RODRIGUES NEVES;PSD;PSD;1;Suplente;13;81612;240001970585;2045202024;SUL;556
SC;ITAJAÍ;Vereador;27100;VALERIA FERNANDES DOS SANTOS;DC;DC;1;Não eleito;13;81612;240001939715;2045202024;SUL;121
SC;ITAJAÍ;Vereador;25777;SAMOEL LUCIANO ELIAS;PRD;PRD;1;Suplente;13;81612;240001881279;2045202024;SUL;649
SC;ITAJAÍ;Vereador;33239;FERNANDO LUIZ GONÇALVES;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169783;2045202024;SUL;120
SC;ITAJAÍ;Vereador;30122;RENATA MENDONÇA ARAÚJO;NOVO;NOVO;1;Não eleito;13;81612;240002045931;2045202024;SUL;95
SC;ITAJAÍ;Vereador;30777;UBIRATAN COSTA DOS SANTOS MENDES;NOVO;NOVO;1;Não eleito;13;81612;240002045924;2045202024;SUL;122
SC;ITAJAÍ;Vereador;40106;EDUARDO VALDIR GRAPP;PSB;PSB;1;Não eleito;13;81612;240002231145;2045202024;SUL;109
