favorecido_consulta,cnpj_consulta,tipo_favorecido,valor_empenhado,valor_liquidado,valor_pago
MUNICIPIO DE ITAJAI,83102277000152,Administração pública,23897309.150000002,0.0,13908916.89
HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,10846382.459999999,0.0,9332390.13
