ano,fase,data,documento,documento_resumido,parlamentar,favorecido,cnpj_favorecido,favorecido_consulta,cnpj_consulta,tipo_favorecido,uf_favorecido,funcao,subfuncao,programa,acao,subtitulo,localizador_gasto,plano_orcamentario,orgao,orgao_superior,valor,observacao,_id_documento
2026,EMPENHADO,08/05/2026,200477000012026NE003671,2026NE003671,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,1990000.0,,7391157ba5abf8816af9215868fb4af0
2026,EMPENHADO,08/05/2026,200477000012026NE003755,2026NE003755,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,995000.0,,082047e26b5c0a42e18ffdfd654a0f1c
2026,LIQUIDADO,11/05/2026,200477000012026NS002844,2026NS002844,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,0.0,EC105 - TRANSFERENCIAS ESPECIAIS,4fcd32943ba75e36fa04dbf4034c4443
2026,LIQUIDADO,11/05/2026,200477000012026NS002989,2026NS002989,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,0.0,EC105 - TRANSFERENCIAS ESPECIAIS,6a8f1daf648801484311e584418f6379
2026,PAGO,12/05/2026,200477000012026OB003620,2026OB003620,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,1990000.0,EC105 - TRANSFERENCIAS ESPECIAIS,813e7a3e622953007541eda051728cb3
2026,PAGO,12/05/2026,200477000012026OB003619,2026OB003619,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,SC,28 - Encargos especiais,845 - Outras transferências,0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA,0EC2 - TRANSFERENCIAS ESPECIAIS,0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C,0000 - TRANSFERENCIAS ESPECIAIS,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto,Ministério da Gestão e da Inovação em Serviços Públicos,995000.0,EC105 - TRANSFERENCIAS ESPECIAIS,646b3f0879e20221e3b21b6f933472cc
